distribution,param_skew_a,param_skew_loc,param_skew_scale,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"SkewNormal(a=-3.1,loc=32.0,scale=7.0)",-3.1111111111111107,32.0,7.0,26.85447415029657,4.581680206502762,33.5,16.48179324697925,50.01820675302075,0.8808,332377.6945096371
"SkewNormal(a=-3.1,loc=36.0,scale=7.0)",-3.1111111111111107,36.0,7.0,30.48192492145948,4.606823129527514,38.0,15.55089672166238,46.44910327833762,0.8864000000000001,300516.02361507487
"SkewNormal(a=-3.1,loc=40.0,scale=7.0)",-3.1111111111111107,40.0,7.0,34.77021196333347,4.602797901764031,41.9,14.735233333018867,43.36476666698113,0.8768,267867.6790670144
"SkewNormal(a=-3.1,loc=44.0,scale=7.0)",-3.1111111111111107,44.0,7.0,38.87425648893557,4.6116742938278215,46.0,13.86802704683082,40.13197295316918,0.8784000000000001,238645.6358696124
"SkewNormal(a=-3.1,loc=48.0,scale=7.0)",-3.1111111111111107,48.0,7.0,42.78225441132752,4.431603963629534,49.2,13.183657564840502,37.616342435159495,0.8784000000000001,215828.90934537246
"SkewNormal(a=-3.1,loc=52.0,scale=7.0)",-3.1111111111111107,52.0,7.0,46.58063572061393,4.5091637509003295,53.2,12.318031902401945,34.481968097598056,0.8656,184426.27003682332
"SkewNormal(a=-3.1,loc=56.0,scale=7.0)",-3.1111111111111107,56.0,7.0,50.72923821327313,4.543481094463261,57.1,11.462068944860965,31.43793105513904,0.8608,157092.80585938186
"SkewNormal(a=-3.1,loc=60.0,scale=7.0)",-3.1111111111111107,60.0,7.0,54.559885967211265,4.556484285981411,60.6,10.682688479728927,28.717311520271075,0.8456,131073.4289861962
"SkewNormal(a=-3.1,loc=64.0,scale=7.0)",-3.1111111111111107,64.0,7.0,58.61525261745422,4.592514041794235,64.8,9.7316561713422,25.468343828657808,0.856,106947.14233290273
"SkewNormal(a=-3.1,loc=68.0,scale=7.0)",-3.1111111111111107,68.0,7.0,62.62234163087216,4.688140833537913,68.0,8.993991348238755,23.00600865176125,0.8216,81992.4250991728
"SkewNormal(a=-2.0,loc=32.0,scale=7.0)",-2.0,32.0,7.0,27.07094375115634,4.887148690395299,34.2,16.3376721487054,49.4623278512946,0.8632,319500.2513302928
"SkewNormal(a=-2.0,loc=36.0,scale=7.0)",-2.0,36.0,7.0,30.760538574705084,4.745832183307735,37.3,15.69640196647953,47.003598033520475,0.8552,293282.76278242207
"SkewNormal(a=-2.0,loc=40.0,scale=7.0)",-2.0,40.0,7.0,35.18403735100159,4.874937960106648,42.0,14.714203872952037,43.28579612704796,0.8536,258743.50601216045
"SkewNormal(a=-2.0,loc=44.0,scale=7.0)",-2.0,44.0,7.0,39.10893241769557,4.873140114209844,46.8,13.697577063174084,39.50242293682592,0.8672,229296.81388312945
"SkewNormal(a=-2.0,loc=48.0,scale=7.0)",-2.0,48.0,7.0,43.18940306508036,4.828131945126014,50.5,12.903615080719392,36.59638491928061,0.8696,204104.96921123174
"SkewNormal(a=-2.0,loc=52.0,scale=7.0)",-2.0,52.0,7.0,46.90616748739604,5.064998551757358,53.3,12.296237338998381,34.40376266100162,0.8288,173809.1608327897
"SkewNormal(a=-2.0,loc=56.0,scale=7.0)",-2.0,56.0,7.0,51.364312791270216,4.826426243043674,58.2,11.218320296253175,30.581679703746815,0.8496,147274.36680532218
"SkewNormal(a=-2.0,loc=60.0,scale=7.0)",-2.0,60.0,7.0,55.322672393491125,4.698710965309513,62.4,10.277333780807682,27.32266621919232,0.8632,123338.94128065571
"SkewNormal(a=-2.0,loc=64.0,scale=7.0)",-2.0,64.0,7.0,58.95346079790683,4.850151487331181,65.3,9.617183255410463,25.082816744589536,0.8432000000000001,101571.96609619688
"SkewNormal(a=-2.0,loc=68.0,scale=7.0)",-2.0,68.0,7.0,62.82679354578955,5.07189957908493,69.3,8.690724635327712,22.00927536467229,0.8352,76645.77612211119
AGGREGATE (mean over sims),-7.0,50.0,7.0,44.55787164384564,4.387874048880259,50.73999999999999,12.804392888422203,36.4556071115778,0.8796240000000001,208660.86829502552
